date,cstore,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor,item,description,pack,liter_size,state_btl_cost,btl_price,bottle_qty,total
2014-05-22,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,27410,Jim Beam Honey,12,750,11.03,16.55,1,16.55
2014-11-25,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,27410,Jim Beam Honey,12,750,11.03,16.55,36,595.8
2014-01-30,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011200,STRAIGHT BOURBON WHISKIES,306,Mississippi River Distilling Co.,27479,Cody Road Bourbon,6,750,19.17,28.76,6,172.56
2014-10-23,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,27544,Red Stag By Jim Beam,12,750,11.03,16.55,12,198.6
2014-01-02,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.18,12.27,12,147.24
2014-01-02,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.18,12.27,12,147.24
2015-01-15,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.18,12.27,12,147.24
2014-07-10,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.18,12.27,12,147.24
2014-07-02,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.18,12.27,12,147.24
2014-01-09,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.18,12.27,12,147.24
2014-05-15,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.18,12.27,12,147.24
2014-01-09,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,260,Diageo Americas,27554,Seagrams Seven Crown Dark Honey,12,750,8.18,12.27,12,147.24
2014-10-30,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011250,SINGLE BARREL BOURBON WHISKIES,306,Mississippi River Distilling Co.,27677,Cody Road Single Barrel,6,750,25.17,37.76,6,226.56
2014-11-25,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,65,Jim Beam Brands,27680,Jim Beam Kentucky Fire Mini,12,500,3.3,4.95,12,59.4
2014-07-24,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011100,BLENDED WHISKIES,65,Jim Beam Brands,27680,Jim Beam Kentucky Fire Mini,12,500,3.3,4.95,2,9.9
2014-10-30,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1011200,STRAIGHT BOURBON WHISKIES,206,Panther Distillery,27718,Pike Street,6,750,24.67,37.01,6,222.06
2014-04-10,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1042100,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28206,Bombay Dry Gin,12,750,9.75,15,2,30
2014-03-06,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1042100,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28236,Bombay Sapphire Gin,12,750,13.64,20.46,36,736.56
2014-02-27,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1042100,IMPORTED DRY GINS,260,Diageo Americas,28866,Tanqueray Gin,12,750,12,17.99,12,215.88
2014-06-12,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1042100,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,14.99,22.48,12,269.76
2015-01-15,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1042100,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,15.25,22.88,12,274.56
2014-01-02,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1042100,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,14.99,22.48,12,269.76
2014-02-20,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1042100,IMPORTED DRY GINS,260,Diageo Americas,28867,Tanqueray Gin,12,1000,14.99,22.48,12,269.76
2014-01-30,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1042100,IMPORTED DRY GINS,260,Diageo Americas,28886,Tanqueray No. Ten,12,750,16.5,24.75,4,99
2014-03-06,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,55,Sazerac North America,29287,Barton Gin,12,1000,3.92,5.88,12,70.56
2014-10-02,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,55,Sazerac North America,29287,Barton Gin,12,1000,3.92,5.88,12,70.56
2015-02-26,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,55,Sazerac North America,29287,Barton Gin,12,1000,3.92,5.88,12,70.56
2014-02-20,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,55,Sazerac North America,29287,Barton Gin,12,1000,3.92,5.88,12,70.56
2014-04-17,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,55,Sazerac North America,29287,Barton Gin,12,1000,3.92,5.88,12,70.56
2014-05-29,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,259,Heaven Hill Distilleries Inc.,29566,Burnett's Gin London Dry,12,750,5.38,8.07,12,96.84
2014-08-21,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,259,Heaven Hill Distilleries Inc.,29568,Burnett's Gin London Dry,6,1750,10.3,15.45,6,92.7
2014-06-26,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,125,Cedar Ridge VineyardsLLC,29812,Clearheart Gin,6,750,12.3,18.45,6,110.7
2014-04-03,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,125,Cedar Ridge VineyardsLLC,29812,Clearheart Gin,6,750,12.3,18.45,6,110.7
2014-10-23,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,297,Laird And Company,29997,Five O'clock Gin,12,1000,4.33,6.5,12,78
2014-06-05,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,297,Laird And Company,29997,Five O'clock Gin,12,1000,4.33,6.49,12,77.88
2014-05-22,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,297,Laird And Company,29997,Five O'clock Gin,12,1000,4.33,6.49,12,77.88
2015-02-12,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,297,Laird And Company,29997,Five O'clock Gin,12,1000,4.33,6.5,12,78
2014-05-01,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,55,Sazerac North America,30058,Fleischmann's Gin,6,1750,8.86,13.54,6,81.24
2014-04-24,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,260,Diageo Americas,30316,Gordon's Gin London Dry,12,750,5,7.49,12,89.88
2014-05-01,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,30527,Hawkeye Gin,12,1000,4.23,6.35,12,76.2
2014-03-20,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,30527,Hawkeye Gin,12,1000,4.23,6.35,12,76.2
2014-03-20,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,30527,Hawkeye Gin,12,1000,4.23,6.35,12,76.2
2014-01-02,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,350,PARAMOUNT DISTILLERS INC.,31656,Paramount Gin,12,750,3.4,5.1,12,61.2
2014-01-02,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,350,PARAMOUNT DISTILLERS INC.,31656,Paramount Gin,12,750,3.4,5.1,12,61.2
2014-07-24,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31657,Paramount Gin,12,1000,4.3,6.45,12,77.4
2014-05-01,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31657,Paramount Gin,12,1000,4.3,6.44,12,77.28
2014-02-27,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31657,Paramount Gin,12,1000,4.3,6.44,24,154.56
2014-06-19,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31657,Paramount Gin,12,1000,4.3,6.44,12,77.28
2014-04-03,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31657,Paramount Gin,12,1000,4.3,6.44,12,77.28
2015-01-08,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,380,Phillips Beverage Company,31719,Phillips Gin,12,1000,4.38,6.57,12,78.84
2014-10-30,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,380,Phillips Beverage Company,31719,Phillips Gin,12,1000,4.38,6.57,12,78.84
2014-10-02,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,306,Mississippi River Distilling Co.,31990,River Rose Gin,6,750,16.17,24.26,6,145.56
2014-01-30,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,306,Mississippi River Distilling Co.,31990,River Rose Gin,6,750,16.17,24.25,6,145.5
2014-11-06,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32231,Seagrams Extra Dry Gin Mini,12,500,3.3,4.95,2,9.9
2014-04-17,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1041200,AMERICAN SLOE GINS,350,PARAMOUNT DISTILLERS INC.,33716,Paramount Sloe Gin,12,750,4,6,12,72
2014-03-20,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032200,IMPORTED VODKA - MISC,115,"Constellation Wine Company, Inc.",33827,Svedka Strawberry Colada,12,750,8.25,12.38,3,37.14
2014-07-17,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032200,IMPORTED VODKA - MISC,434,Luxco-St Louis,33899,Pearl Grape,12,750,7.86,11.79,12,141.48
2014-03-13,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032200,IMPORTED VODKA - MISC,434,Luxco-St Louis,33899,Pearl Grape,12,750,7.86,11.79,12,141.48
2014-04-24,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34006,Absolut Swedish Vodka 80 Prf,12,750,10.74,16.49,12,197.88
2014-10-30,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,14.99,22.49,36,809.64
2014-08-07,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,14.99,22.49,24,539.76
2014-05-29,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,15,22.49,24,539.76
2014-04-10,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,15,22.49,24,539.76
2014-09-04,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,14.99,22.49,36,809.64
2014-02-13,,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517169286000069, -92.455837838999969)",7,Black Hawk,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34026,Absolut Peppar,12,750,11.49,17.24,12,206.88
